month,country,num_orders,num_customers,total_revenue,total_units
2010-04-01,Channel Islands,1,1,926.82,367
2010-04-01,Cyprus,2,1,1151.7,459
2010-04-01,Denmark,1,1,748.0,576
2010-04-01,EIRE,16,3,20668.08,11962
2010-04-01,Finland,3,2,1255.13,649
2010-04-01,France,10,8,7405.18,3985
2010-04-01,Germany,31,22,23683.231,12557
2010-04-01,Greece,1,1,277.93,94
2010-04-01,Italy,2,2,1525.85,890
2010-04-01,Netherlands,10,8,6888.78,4944
2010-04-01,Portugal,1,1,85.54,46
2010-04-01,Singapore,1,1,1252.95,509
2010-04-01,Spain,2,2,833.98,490
2010-04-01,Sweden,16,3,17698.12,18648
2010-04-01,Switzerland,2,2,1939.76,1201
2010-04-01,United Kingdom,1222,876,503425.741,291692
2010-04-01,Unspecified,1,1,252.52,153
2010-05-01,Australia,6,4,2371.15,667
2010-05-01,Austria,1,1,622.04,655
2010-05-01,Bahrain,1,1,488.21,303
2010-05-01,Belgium,1,1,98.15,38
2010-05-01,Channel Islands,6,4,5378.52,2403
2010-05-01,Cyprus,1,1,515.61,144
2010-05-01,EIRE,18,2,18447.91,9403
2010-05-01,Finland,1,1,837.11,370
2010-05-01,France,16,14,13958.15,8941
2010-05-01,Germany,17,14,9108.36,4246
2010-05-01,Greece,2,2,2476.22,806
2010-05-01,Italy,4,3,2374.7,1043
2010-05-01,Netherlands,8,6,22416.53,14910
2010-05-01,Portugal,2,2,757.2,216
2010-05-01,Spain,5,3,2854.58,1498
2010-05-01,Sweden,10,1,3556.76,6084
2010-05-01,Switzerland,6,5,9825.16,5947
2010-05-01,USA,2,1,416.31,413
2010-05-01,United Kingdom,1270,901,503483.12,328210
2010-06-01,Australia,3,3,3214.78,2280
2010-06-01,Austria,1,1,268.1,281
2010-06-01,Belgium,6,4,3800.34,1588
2010-06-01,Channel Islands,1,1,845.0,500
2010-06-01,Cyprus,1,1,489.8,100
2010-06-01,Denmark,4,3,2695.51,1887
2010-06-01,EIRE,24,2,22934.34,12306
2010-06-01,Finland,1,1,534.14,242
2010-06-01,France,23,18,9172.54,5709
2010-06-01,Germany,27,16,15678.63,9326
2010-06-01,Greece,1,1,302.4,120
2010-06-01,Italy,2,2,267.45,134
2010-06-01,Japan,2,2,594.68,428
2010-06-01,Netherlands,8,4,24224.51,15761
2010-06-01,Poland,1,1,556.16,282
2010-06-01,Portugal,4,4,3668.46,1632
2010-06-01,Spain,2,2,2332.2,884
2010-06-01,Sweden,2,2,914.3,467
2010-06-01,Switzerland,2,2,2362.47,1882
2010-06-01,Thailand,1,1,1956.84,2028
2010-06-01,USA,4,2,896.07,551
2010-06-01,United Kingdom,1377,968,541357.86,333286
2010-07-01,Australia,3,2,686.12,224
2010-07-01,Belgium,7,6,1914.23,1393
2010-07-01,Denmark,1,1,591.66,164
2010-07-01,EIRE,22,3,31987.23,13700
2010-07-01,Finland,2,2,956.23,362
2010-07-01,France,17,14,11408.15,4041
2010-07-01,Germany,26,21,20274.29,13100
2010-07-01,Israel,1,1,1950.98,762
2010-07-01,Japan,3,1,1253.3,726
2010-07-01,Lithuania,1,1,1706.23,971
2010-07-01,Netherlands,10,8,5534.29,3410
2010-07-01,Poland,1,1,374.75,143
2010-07-01,Portugal,1,1,288.1,72
2010-07-01,Spain,3,3,1134.81,806
2010-07-01,Sweden,2,2,2590.78,2513
2010-07-01,Switzerland,5,3,743.99,507
2010-07-01,Thailand,1,1,1113.7,524
2010-07-01,USA,1,1,508.1,134
2010-07-01,United Kingdom,1272,856,504239.92,280827
2010-07-01,Unspecified,2,1,2379.88,1276
2010-08-01,Australia,1,1,176.0,88
2010-08-01,Austria,1,1,1043.15,689
2010-08-01,Belgium,3,3,1713.62,954
2010-08-01,Channel Islands,2,2,1363.14,662
2010-08-01,Denmark,3,3,2643.03,1520
2010-08-01,EIRE,23,3,22919.36,14510
2010-08-01,France,10,10,16570.32,89914
2010-08-01,Germany,24,16,9943.12,5264
2010-08-01,Greece,1,1,721.71,561
2010-08-01,Malta,2,1,3737.12,943
2010-08-01,Netherlands,10,5,25028.69,17667
2010-08-01,Nigeria,1,1,112.57,102
2010-08-01,Norway,1,1,152.4,508
2010-08-01,Poland,1,1,527.44,320
2010-08-01,Portugal,2,2,463.22,189
2010-08-01,Spain,5,4,1299.99,675
2010-08-01,Sweden,5,2,2702.94,1827
2010-08-01,Switzerland,3,3,2053.05,1062
2010-08-01,United Arab Emirates,1,1,2047.28,1364
2010-08-01,United Kingdom,1193,849,508488.09,314367
2010-08-01,West Indies,1,1,536.41,395
2010-09-01,Australia,2,2,785.83,293
2010-09-01,Austria,5,3,1940.17,1217
2010-09-01,Belgium,5,5,1190.91,651
2010-09-01,Brazil,1,1,268.27,189
2010-09-01,Channel Islands,9,5,6156.34,3341
2010-09-01,Cyprus,3,3,1020.53,502
2010-09-01,Denmark,3,2,1725.25,1307
2010-09-01,EIRE,34,2,36349.13,19828
2010-09-01,Finland,2,2,864.68,763
2010-09-01,France,26,16,14531.33,6960
2010-09-01,Germany,32,21,17740.18,9257
2010-09-01,Greece,1,1,780.06,146
2010-09-01,Italy,2,2,1380.56,1074
2010-09-01,Japan,1,1,1895.0,1100
2010-09-01,Korea,1,1,168.69,102
2010-09-01,Netherlands,19,8,45037.14,29199
2010-09-01,Norway,1,1,973.69,619
2010-09-01,Poland,2,2,349.47,231
2010-09-01,Portugal,6,4,2964.58,1795
2010-09-01,Singapore,3,1,2784.82,1244
2010-09-01,Spain,6,6,3770.45,2325
2010-09-01,Sweden,4,3,2899.56,3526
2010-09-01,Switzerland,4,3,2474.44,1356
2010-09-01,United Kingdom,1515,1048,681585.771,480331
2010-09-01,Unspecified,2,2,1978.15,1256
2010-10-01,Australia,9,8,2989.15,1881
2010-10-01,Austria,4,3,1236.7,351
2010-10-01,Bahrain,1,1,317.76,192
2010-10-01,Belgium,5,4,1475.72,664
2010-10-01,Canada,1,1,834.89,671
2010-10-01,Channel Islands,4,3,4341.19,1899
2010-10-01,Cyprus,1,1,551.33,253
2010-10-01,Denmark,2,2,448.6,169
2010-10-01,EIRE,43,2,43929.86,17302
2010-10-01,Finland,2,2,1166.69,675
2010-10-01,France,28,22,15211.77,9923
2010-10-01,Germany,38,30,21561.63,11857
2010-10-01,Greece,1,1,3084.02,1753
2010-10-01,Iceland,1,1,611.53,509
2010-10-01,Italy,7,7,5221.42,2140
2010-10-01,Japan,1,1,1533.89,3199
2010-10-01,Netherlands,12,4,17265.85,17628
2010-10-01,Portugal,5,5,2978.23,2224
2010-10-01,Spain,10,8,14088.5,6948
2010-10-01,Sweden,8,6,9369.41,7814
2010-10-01,Switzerland,6,6,8629.69,4611
2010-10-01,USA,1,1,132.8,129
2010-10-01,United Arab Emirates,2,1,509.92,351
2010-10-01,United Kingdom,1941,1379,879189.45,505380
2010-11-01,Australia,5,4,18245.52,12900
2010-11-01,Austria,5,4,2873.3,1261
2010-11-01,Belgium,7,7,5252.98,2743
2010-11-01,Canada,1,1,381.77,223
2010-11-01,Channel Islands,3,3,2278.73,1111
2010-11-01,Cyprus,1,1,397.6,208
2010-11-01,Denmark,3,3,4059.96,1753
2010-11-01,EIRE,37,3,27717.73,13424
2010-11-01,Finland,2,1,414.98,213
2010-11-01,France,37,24,18998.49,10990
2010-11-01,Germany,43,26,30240.51,15679
2010-11-01,Greece,1,1,761.3,414
2010-11-01,Israel,1,1,1248.42,370
2010-11-01,Italy,6,5,2673.16,1287
2010-11-01,Japan,3,1,23.6,8
2010-11-01,Korea,1,1,949.82,598
2010-11-01,Lithuania,1,1,1525.39,683
2010-11-01,Netherlands,22,7,36058.74,22102
2010-11-01,Norway,4,3,4629.32,2974
2010-11-01,Poland,2,2,821.14,568
2010-11-01,Portugal,7,5,5058.38,1985
2010-11-01,Spain,7,6,6126.21,2968
2010-11-01,Sweden,5,3,1933.91,782
2010-11-01,Switzerland,6,5,13570.73,4599
2010-11-01,USA,1,1,402.6,234
2010-11-01,United Arab Emirates,2,1,1713.69,465
2010-11-01,United Kingdom,2373,1486,983677.132,555515
2010-11-01,Unspecified,1,1,300.93,261
2010-12-01,Australia,3,2,1650.0,788
2010-12-01,Austria,1,1,277.2,51
2010-12-01,Belgium,5,4,2156.01,2283
2010-12-01,Channel Islands,1,1,727.06,160
2010-12-01,Cyprus,1,1,1590.82,917
2010-12-01,Denmark,1,1,2563.0,908
2010-12-01,EIRE,15,3,13547.66,8768
2010-12-01,Finland,1,1,892.8,1254
2010-12-01,France,21,15,15906.73,8178
2010-12-01,Germany,30,18,20925.22,9492
2010-12-01,Iceland,1,1,1423.58,638
2010-12-01,Italy,2,2,1239.3,459
2010-12-01,Japan,3,3,11819.55,5777
2010-12-01,Lithuania,4,1,3322.12,1304
2010-12-01,Netherlands,3,2,8977.08,6908
2010-12-01,Norway,2,1,7574.24,7164
2010-12-01,Poland,1,1,496.32,280
2010-12-01,Portugal,6,6,4104.49,1644
2010-12-01,Spain,4,4,2638.45,1334
2010-12-01,Sweden,2,1,3834.3,3954
2010-12-01,Switzerland,2,2,1608.32,824
2010-12-01,United Kingdom,1291,815,777317.64,407548
2011-01-01,Australia,9,7,9017.71,5644
2011-01-01,Belgium,3,3,1200.2,792
2011-01-01,Channel Islands,1,1,675.58,259
2011-01-01,Cyprus,1,1,547.5,144
2011-01-01,EIRE,7,2,21904.19,8794
2011-01-01,Finland,2,2,889.02,765
2011-01-01,France,29,24,17740.12,9199
2011-01-01,Germany,31,28,16910.84,9077
2011-01-01,Greece,1,1,2661.24,526
2011-01-01,Iceland,1,1,475.39,315
2011-01-01,Italy,3,3,2402.51,1121
2011-01-01,Lebanon,1,1,1693.88,386
2011-01-01,Netherlands,5,2,26611.16,20417
2011-01-01,Poland,1,1,613.22,288
2011-01-01,Portugal,4,4,4055.71,2094
2011-01-01,Singapore,1,1,2053.07,1091
2011-01-01,Spain,8,7,10086.09,3845
2011-01-01,Sweden,2,2,3486.32,3097
2011-01-01,Switzerland,3,3,4231.23,2993
2011-01-01,United Kingdom,874,647,442190.06,278251
2011-02-01,Australia,5,4,14695.42,8680
2011-02-01,Austria,2,2,518.36,342
2011-02-01,Belgium,8,7,2181.07,1102
2011-02-01,Channel Islands,1,1,1784.71,935
2011-02-01,Cyprus,6,4,4334.24,2191
2011-02-01,Czech Republic,1,1,549.26,346
2011-02-01,Denmark,1,1,399.22,224
2011-02-01,EIRE,9,2,10126.52,4965
2011-02-01,Finland,1,1,205.16,141
2011-02-01,France,21,17,8515.96,5340
2011-02-01,Germany,19,17,9581.05,4245
2011-02-01,Israel,1,1,779.1,286
2011-02-01,Italy,1,1,256.0,111
2011-02-01,Japan,2,2,5780.81,2999
2011-02-01,Netherlands,5,2,23011.91,16387
2011-02-01,Norway,2,2,630.9,295
2011-02-01,Poland,2,2,604.05,297
2011-02-01,Portugal,2,2,1213.9,558
2011-02-01,Saudi Arabia,1,1,145.92,80
2011-02-01,Spain,4,4,2114.5,870
2011-02-01,Sweden,1,1,509.5,250
2011-02-01,Switzerland,5,4,2654.92,1107
2011-02-01,United Arab Emirates,1,1,889.24,496
2011-02-01,United Kingdom,896,679,355655.63,213375
2011-03-01,Australia,3,3,17223.99,10439
2011-03-01,Austria,2,2,1708.12,982
2011-03-01,Belgium,9,8,3351.98,1783
2011-03-01,Canada,1,1,140.54,88
2011-03-01,Channel Islands,3,3,3509.33,2104
2011-03-01,Cyprus,1,1,938.39,1005
2011-03-01,Denmark,1,1,3978.99,879
2011-03-01,EIRE,22,3,21674.36,9246
2011-03-01,Finland,5,1,5936.82,2536
2011-03-01,France,25,17,14589.55,8690
2011-03-01,Germany,32,24,14392.69,7739
2011-03-01,Greece,1,1,387.31,289
2011-03-01,Italy,4,3,1806.81,688
2011-03-01,Japan,3,3,48.9,21
2011-03-01,Netherlands,8,4,22416.49,14828
2011-03-01,Norway,4,1,1265.31,156
2011-03-01,Poland,1,1,317.78,162
2011-03-01,Portugal,5,4,2660.85,1626
2011-03-01,Spain,8,8,5363.15,2545
2011-03-01,Sweden,3,2,4720.58,5407
2011-03-01,Switzerland,3,3,1870.23,986
2011-03-01,United Kingdom,1177,880,467198.59,276304
2011-04-01,Australia,2,2,771.6,225
2011-04-01,Austria,2,2,680.78,311
2011-04-01,Belgium,6,6,1989.48,1183
2011-04-01,Brazil,1,1,1143.6,356
2011-04-01,Channel Islands,1,1,293.0,97
2011-04-01,EIRE,11,2,7570.5,4135
2011-04-01,European Community,1,1,191.4,34
2011-04-01,Finland,4,4,1688.92,818
2011-04-01,France,14,14,5529.61,2287
2011-04-01,Germany,23,19,12315.54,5764
2011-04-01,Greece,1,1,609.74,262
2011-04-01,Iceland,1,1,636.25,483
2011-04-01,Italy,2,2,737.83,653
2011-04-01,Japan,2,2,6548.5,8058
2011-04-01,Netherlands,3,1,2976.56,1768
2011-04-01,Poland,1,1,705.84,432
2011-04-01,Portugal,2,2,1687.75,951
2011-04-01,Singapore,3,1,8209.58,1389
2011-04-01,Spain,3,3,1785.65,953
2011-04-01,Sweden,2,2,809.1,310
2011-04-01,Switzerland,4,2,2076.94,886
2011-04-01,USA,1,1,383.95,137
2011-04-01,United Kingdom,1058,784,409559.141,260448
2011-04-01,Unspecified,1,1,299.1,282
2011-05-01,Australia,4,2,13638.41,8999
2011-05-01,Austria,2,2,1249.43,476
2011-05-01,Bahrain,2,2,548.4,260
2011-05-01,Belgium,9,7,2732.4,1829
2011-05-01,Canada,1,1,534.24,504
2011-05-01,Channel Islands,2,2,1207.24,224
2011-05-01,Denmark,1,1,515.7,368
2011-05-01,EIRE,18,3,15982.19,7251
2011-05-01,France,39,28,17614.88,9788
2011-05-01,Germany,42,27,25751.2,12997
2011-05-01,Italy,1,1,587.45,267
2011-05-01,Japan,1,1,1351.45,743
2011-05-01,Netherlands,11,4,29185.88,19936
2011-05-01,Poland,3,3,1522.37,616
2011-05-01,Portugal,5,1,4202.23,315
2011-05-01,Spain,4,3,3257.6,1468
2011-05-01,Sweden,3,2,2681.98,2833
2011-05-01,Switzerland,3,3,3610.01,2249
2011-05-01,United Kingdom,1403,962,551568.82,301824
2011-05-01,Unspecified,1,1,852.68,654
2011-06-01,Australia,4,2,25187.77,15981
2011-06-01,Belgium,11,11,4274.82,2245
2011-06-01,Canada,1,1,1171.46,1092
2011-06-01,Channel Islands,1,1,2060.03,836
2011-06-01,Cyprus,1,1,1109.32,356
2011-06-01,Denmark,3,3,3261.15,1544
2011-06-01,EIRE,24,2,19835.99,12182
2011-06-01,European Community,2,1,432.05,130
2011-06-01,Finland,1,1,329.56,157
2011-06-01,France,30,25,16078.97,9578
2011-06-01,Germany,24,21,13274.1,7470
2011-06-01,Iceland,1,1,382.52,196
2011-06-01,Italy,2,2,202.07,55
2011-06-01,Japan,1,1,1607.04,2256
2011-06-01,Malta,2,1,863.16,402
2011-06-01,Netherlands,11,5,26858.09,19744
2011-06-01,Norway,4,2,5886.86,2009
2011-06-01,Poland,2,2,343.65,81
2011-06-01,Portugal,3,3,884.46,421
2011-06-01,Spain,8,8,3333.21,1538
2011-06-01,Sweden,3,3,832.0,404
2011-06-01,Switzerland,4,4,7904.15,3970
2011-06-01,United Kingdom,1249,889,524915.48,280974
2011-06-01,Unspecified,1,1,185.78,78
2011-07-01,Australia,7,3,4964.38,5318
2011-07-01,Austria,2,2,1191.95,573
2011-07-01,Belgium,5,4,2475.57,1679
2011-07-01,Canada,2,1,1768.58,1027
2011-07-01,Denmark,1,1,376.24,241
2011-07-01,EIRE,22,3,40905.15,21257
2011-07-01,European Community,1,1,676.8,335
2011-07-01,Finland,3,3,2996.73,1273
2011-07-01,France,22,18,10000.19,5664
2011-07-01,Germany,33,26,16440.98,9096
2011-07-01,Greece,1,1,421.24,244
2011-07-01,Israel,1,1,1430.75,633
2011-07-01,Italy,1,1,147.1,22
2011-07-01,Japan,2,2,3854.4,2328
2011-07-01,Netherlands,1,1,26.02,10
2011-07-01,Norway,1,1,890.07,586
2011-07-01,Poland,2,2,687.3,288
2011-07-01,Portugal,3,3,2287.85,1436
2011-07-01,Singapore,1,1,3949.32,2160
2011-07-01,Spain,9,7,7624.92,3438
2011-07-01,Sweden,3,2,6802.09,6006
2011-07-01,Switzerland,5,4,3762.65,1615
2011-07-01,United Kingdom,1200,859,485612.251,303601
2011-07-01,Unspecified,3,2,798.48,590
2011-08-01,Australia,2,2,22489.2,12570
2011-08-01,Austria,2,2,1516.08,790
2011-08-01,Belgium,9,8,3554.02,2069
2011-08-01,Canada,1,1,51.56,52
2011-08-01,Channel Islands,5,4,4896.78,2009
2011-08-01,Denmark,1,1,213.15,338
2011-08-01,EIRE,17,2,16967.38,9091
2011-08-01,Finland,3,2,1376.5,693
2011-08-01,France,28,22,13810.96,7958
2011-08-01,Germany,39,29,19220.77,9641
2011-08-01,Iceland,1,1,584.91,277
2011-08-01,Israel,1,1,4873.81,3028
2011-08-01,Italy,4,3,1990.95,1147
2011-08-01,Malta,2,2,1119.0,382
2011-08-01,Netherlands,7,1,40327.81,29300
2011-08-01,Norway,2,2,2025.81,636
2011-08-01,Poland,2,2,401.8,186
2011-08-01,Portugal,1,1,1221.4,1026
2011-08-01,Spain,10,6,3346.91,1600
2011-08-01,Sweden,5,4,1400.86,1314
2011-08-01,Switzerland,3,3,4969.89,2998
2011-08-01,United Kingdom,1133,834,498453.32,310831
2011-08-01,Unspecified,2,2,531.03,185
2011-09-01,Australia,8,6,5106.73,4079
2011-09-01,Belgium,7,7,4208.02,1969
2011-09-01,Channel Islands,2,2,1323.75,764
2011-09-01,Cyprus,1,1,196.35,33
2011-09-01,Denmark,3,3,4570.16,1608
2011-09-01,EIRE,36,2,40995.49,22136
2011-09-01,Finland,4,4,1105.45,515
2011-09-01,France,45,36,23428.04,13002
2011-09-01,Germany,41,31,18091.22,11156
2011-09-01,Italy,1,1,279.8,48
2011-09-01,Japan,1,1,112.08,144
2011-09-01,Netherlands,7,2,26937.26,17309
2011-09-01,Norway,6,5,8678.94,4655
2011-09-01,Poland,2,2,529.25,253
2011-09-01,Portugal,3,3,1433.22,899
2011-09-01,Spain,8,6,5189.24,2683
2011-09-01,Sweden,3,3,4575.21,4344
2011-09-01,Switzerland,7,5,8284.86,4255
2011-09-01,United Arab Emirates,2,1,1013.04,486
2011-09-01,United Kingdom,1568,1146,796780.272,454559
2011-10-01,Australia,4,2,17150.53,7401
2011-10-01,Austria,1,1,1043.78,491
2011-10-01,Belgium,11,9,5685.38,3170
2011-10-01,Channel Islands,5,2,2623.32,1407
2011-10-01,Cyprus,4,4,4412.87,1415
2011-10-01,Czech Republic,1,1,277.48,325
2011-10-01,Denmark,3,3,1490.76,869
2011-10-01,EIRE,31,2,24317.92,15904
2011-10-01,Finland,6,5,2822.12,1115
2011-10-01,France,35,27,33485.45,13807
2011-10-01,Germany,58,38,31638.42,17740
2011-10-01,Iceland,1,1,1294.32,676
2011-10-01,Israel,2,1,138.03,99
2011-10-01,Italy,7,5,3489.69,1597
2011-10-01,Japan,2,2,1948.04,1124
2011-10-01,Netherlands,15,4,40708.65,27230
2011-10-01,Norway,7,5,3687.23,1692
2011-10-01,Portugal,9,5,5899.46,3150
2011-10-01,RSA,1,1,1002.31,351
2011-10-01,Singapore,2,1,7067.32,601
2011-10-01,Spain,8,7,8636.94,4352
2011-10-01,Sweden,3,2,5766.16,6151
2011-10-01,Switzerland,6,5,7655.19,4532
2011-10-01,USA,2,2,2311.2,1717
2011-10-01,United Kingdom,1705,1230,824766.22,476984
2011-11-01,Australia,6,3,7242.72,4098
2011-11-01,Austria,2,2,1329.78,717
2011-11-01,Belgium,11,8,6315.76,2560
2011-11-01,Channel Islands,3,2,1514.77,716
2011-11-01,Cyprus,1,1,460.89,300
2011-11-01,Denmark,2,2,2699.57,1537
2011-11-01,EIRE,39,2,29473.41,16125
2011-11-01,Finland,8,5,3070.24,1087
2011-11-01,France,62,39,31337.09,17384
2011-11-01,Germany,68,44,28025.02,13453
2011-11-01,Italy,9,9,4571.08,2063
2011-11-01,Japan,2,2,8460.08,4250
2011-11-01,Malta,1,1,743.43,186
2011-11-01,Netherlands,15,4,25874.01,18663
2011-11-01,Norway,5,5,6527.5,3406
2011-11-01,Poland,2,2,1361.23,941
2011-11-01,Portugal,10,7,2644.9,1093
2011-11-01,Spain,14,12,8678.96,3507
2011-11-01,Sweden,5,5,2722.23,1973
2011-11-01,Switzerland,6,4,8118.96,3777
2011-11-01,United Kingdom,2386,1505,980645.75,571215
2011-12-01,Austria,1,1,683.2,148
2011-12-01,Belgium,4,4,1417.73,1101
2011-12-01,Channel Islands,1,1,198.4,60
2011-12-01,Denmark,1,1,168.9,173
2011-12-01,EIRE,9,1,6978.92,3946
2011-12-01,Finland,3,3,1232.76,350
2011-12-01,France,18,17,7294.92,3786
2011-12-01,Germany,17,12,7984.17,4006
2011-12-01,Greece,1,1,680.99,236
2011-12-01,Iceland,1,1,224.82,192
2011-12-01,Italy,1,1,200.45,45
2011-12-01,Netherlands,3,1,11728.02,7958
2011-12-01,Norway,3,2,2785.7,2319
2011-12-01,Portugal,4,4,2808.19,1569
2011-12-01,Spain,2,2,316.21,274
2011-12-01,Sweden,1,1,238.0,40
2011-12-01,USA,2,2,885.24,604
2011-12-01,United Kingdom,706,560,472384.17,260607
